شناسه گزارش,نامزد,مؤلفه
4,Indrik Spider,threat_actor
4,travel,none
4,education,none
4,FSB,none
4,Treasury,none
4,government,targeted_sectors
4,healthcare,targeted_sectors
4,defense,targeted_sectors
4,T1490,attack_techniques
4,Grief,malware
4,LSASecretsView,malware
4,Mimikatz,malware
4,finance,targeted_sectors
4,OFAC,none
4,FakeUpdates,malware
4,commerce,targeted_sectors
4,CONTENTS2INTRODUCTIONThe,none
4,T1543,attack_techniques
4,akamai-technologies.site,iocs
4,Doppel Spider,threat_actor
4,telecom,targeted_sectors
4,doppleshare.top,iocs
4,The Treasury,none
4,Evil Corp,threat_actor
4,AMER ELSAD Threat,none
4,Dridex,malware
4,Advanced Persistent Threat,threat_actor
4,logistics,targeted_sectors
4,BitPaymer,malware
4,TinyPos,malware
4,Yakubets,none
4,energy,targeted_sectors
4,Most Wanted,none
4,T1564.004,attack_techniques
4,T1543.003,attack_techniques
4,PsExec,malware
4,Emotet,malware
4,TA505,threat_actor
4,Lockean,threat_actor
4,TinyLoader,malware
4,QakBot,malware
4,DoppelPaymer,malware
4,ProcDump,malware
4,Maksim Yakubets,threat_actor
4,Russian Federal Security,none
4,DoppelDridex,malware
4,europe,targeted_sectors
4,Macaw,malware
4,atakai-technologies.host,iocs
4,PowerShell Empire,malware
4,united states,targeted_sectors
4,akamai-technologies.space,iocs
4,FBI,none
4,WastedLocker,malware
4,Intelligence AnalystAmer Elsad,none
4,LaZagne,malware
4,T1564,attack_techniques
4,services,targeted_sectors
4,July,none
4,ProcessHacker,malware
4,manufacturing,targeted_sectors
4,Cobalt Strike,malware
4,real estate,targeted_sectors
34,Analyze,none
34,Antiy CERT,none
34,Chile,targeted_sectors
34,IEUpdate.exe,malware
34,Posted,none
34,T1113,attack_techniques
34,T1539,attack_techniques
34,dl.dropboxusercontent.com,iocs
34,South Korea,targeted_sectors
34,IEUpdate,malware
34,APT38,threat_actor
34,T1189,attack_techniques
34,T1005,attack_techniques
34,T1055,attack_techniques
34,T1566,attack_techniques
34,T1082,attack_techniques
34,Poland,targeted_sectors
34,Sogang KLEC,targeted_sectors
34,hvncengine.dll,malware
34,T1033,attack_techniques
34,HIDDEN COBRA,threat_actor
34,WINWORD,none
34,Peace,none
34,T1583,attack_techniques
34,Bitcoin,none
34,T1010,attack_techniques
34,United States,targeted_sectors
34,KlmFl6zLkZwAntiy CERT Antiy,none
34,Guardians,threat_actor
34,T1547,attack_techniques
34,Brazil,targeted_sectors
34,Zinc,threat_actor
34,T1012,attack_techniques
34,T1057,attack_techniques
34,T1041,attack_techniques
34,T1204,attack_techniques
34,KF5HUNe8,none
34,Language Education Center,targeted_sectors
34,Sogang University Korean,none
34,T1056,attack_techniques
34,south korea,targeted_sectors
34,Suspected Lazarus Attacks,none
34,Beijing Recently,none
34,Mexico,targeted_sectors
34,COVID,none
34,T1140,attack_techniques
34,T1221,attack_techniques
34,shellengine.dll,malware
34,T1083,attack_techniques
34,T1562,attack_techniques
34,T1559,attack_techniques
34,T1548,attack_techniques
34,Against South Koreamp,none
34,T1071,attack_techniques
34,Lazarus,threat_actor
34,T1497,attack_techniques
34,T1124,attack_techniques
121,Microsoft Windows,none
121,Router Solicitation,none
121,Core Networking,none
121,ENABLE ALL,none
121,NBTscan,malware
121,March,none
121,Multiple Asian CountriesState,targeted_sectors
121,Port Scanner,malware
121,ICMP,none
121,SNMP Trap Service,none
121,Broadcom Software,none
121,defense,targeted_sectors
121,Actor Targets Cert,none
121,Certutil,malware
121,Lotus Blossom,threat_actor
121,WinRAR,malware
121,government,targeted_sectors
121,symantec-enterprise-blogs.security.com,iocs
121,AdFind,malware
121,Government Agencies,targeted_sectors
121,Tracert,malware
121,Ping,malware
121,Stowaway,malware
121,UDP,none
121,Asian,targeted_sectors
121,Thrip,threat_actor
121,asia,targeted_sectors
121,Winmail,malware
121,APT,threat_actor
121,Active Directory,none
121,Route,malware
121,Allows,none
121,certificate authority,targeted_sectors
121,Billbug,threat_actor
121,Hannotog,malware
121,Sagerunex,malware
133,ukraine,targeted_sectors
133,BlackEnergy Trojans,malware
133,Georgia,targeted_sectors
133,Office,none
133,Word,none
133,Microsoft Word,none
133,ESET,none
133,Right Sector,targeted_sectors
133,Excel,none
133,ics,targeted_sectors
133,Ukrainian,targeted_sectors
133,Partners,none
133,Unlike,none
133,Autorun,none
133,Maria Garnaeva,none
133,BlackEnergy APT,threat_actor
133,Microsoft,none
133,Cr4sh,threat_actor
133,SCADA,targeted_sectors
133,ICS,targeted_sectors
133,Interestingly,none
133,energy,targeted_sectors
133,Russian,none
133,Google Translate,none
133,media,targeted_sectors
133,BlackEnergy,malware
133,Kurt Baumgartner,none
133,Cys Centrum,none
133,Ukraine,targeted_sectors
133,kaspersky.com,iocs
133,government,targeted_sectors
